"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
29581,NA,NA,"Janthinobacterium lividum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Janthinobacterium",29580,"genus"
1008,NA,NA,"Saprospira grandis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Saprospira",1007,"genus"
32046,NA,NA,"Synechococcus elongatus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Synechococcus",1129,"genus"
70995,NA,NA,"Lewinella cohaerens","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Lewinella",70994,"genus"
116598,NA,NA,"Wolbachia endosymbiont of Diaphorina citri","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Wolbachia",953,"genus"
70998,NA,NA,"Lewinella persica","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Lewinella",70994,"genus"
105560,NA,NA,"Methylibium petroleiphilum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methylibium",316612,"genus"
118562,NA,NA,"Arthrospira platensis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Arthrospira",35823,"genus"
129910,NA,NA,"Arthrospira maxima","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Limnospira",2596745,"genus"
191863,NA,NA,"Chthoniobacter flavus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Chthoniobacter",295577,"genus"
278956,NA,NA,"Opitutaceae bacterium TAV1","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Opitutaceae",134623,"family"
287535,NA,NA,"Balneola vulgaris","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Balneola",455358,"genus"
311334,NA,NA,"Chryseobacterium taeanense","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Chryseobacterium",59732,"genus"
313588,NA,NA,"Croceibacter atlanticus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Croceibacter",216431,"genus"
336810,NA,NA,"Candidatus Sulcia muelleri","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Candidatus Sulcia",336809,"genus"
263437,NA,NA,"Wolbachia endosymbiont of Culex quinquefasciatus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Wolbachia",953,"genus"
360293,NA,NA,"Leeuwenhoekiella blandensis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Leeuwenhoekiella",283735,"genus"
446683,NA,NA,"Niabella soli","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Niabella",379899,"genus"
454586,NA,NA,"Pedobacter agri","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Pedobacter",84567,"genus"
498301,NA,NA,"Flavobacterium rivuli","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Flavobacterium",237,"genus"
